timestamp,sender,recipient,subject,size_bytes,attachment,spam_score,action,src_ip,category
2024-03-24 10:57:39,rroberts@aceptech.local,sprice@aceptech.local,Please Review,12200,invoice.xlsx,0.19,Delivered,10.10.50.7,Normal
2024-03-20 11:46:01,jsmith@aceptech.local,sprice@aceptech.local,Please Review,24984,report.pdf,0.16,Delivered,10.10.50.7,Normal
2024-03-17 13:07:13,lward@aceptech.local,kcox@aceptech.local,Team Schedule,5373,invoice.xlsx,0.38,Delivered,10.10.50.7,Normal
2024-03-07 16:48:51,tphillips@aceptech.local,nnelson@aceptech.local,Agenda for Tomorrow,10027,report.pdf,1.02,Delivered,10.10.50.7,Normal
2024-03-05 16:51:25,jrivera@aceptech.local,hmurphy@aceptech.local,Quick Question,27230,None,1.26,Delivered,10.10.50.7,Normal
2024-03-10 16:51:37,eharris@aceptech.local,nnelson@aceptech.local,Please Review,23813,None,0.14,Delivered,10.10.50.7,Normal
2024-03-03 17:18:02,bmorris@aceptech.local,lward@aceptech.local,Quick Question,16982,None,0.09,Delivered,10.10.50.7,Normal
2024-03-10 09:36:47,sprice@aceptech.local,rthompson@aceptech.local,Quick Question,26528,None,0.66,Delivered,10.10.50.7,Normal
2024-03-22 15:26:17,pbrooks@aceptech.local,tphillips@aceptech.local,Project Update,22504,None,1.37,Delivered,10.10.50.7,Normal
2024-03-30 17:45:37,ptaylor@aceptech.local,kcox@aceptech.local,FYI,43178,None,0.43,Delivered,10.10.50.7,Normal
2024-03-12 12:18:09,glewis@aceptech.local,ecook@aceptech.local,Agenda for Tomorrow,16987,invoice.xlsx,0.8,Delivered,10.10.50.7,Normal
2024-03-13 13:10:24,cwhite@aceptech.local,zstewart@aceptech.local,Invoice Attached,22211,None,0.52,Delivered,10.10.50.7,Normal
2024-03-20 09:59:33,ucampbell@aceptech.local,rroberts@aceptech.local,Invoice Attached,14741,None,0.04,Delivered,10.10.50.7,Normal
2024-03-17 13:33:28,amartin@aceptech.local,nwood@aceptech.local,FYI,42426,invoice.xlsx,0.22,Delivered,10.10.50.7,Normal
2024-03-19 15:16:25,rthompson@aceptech.local,dreed@aceptech.local,Meeting Follow-up,25007,None,0.29,Delivered,10.10.50.7,Normal
2024-03-22 16:08:56,kjones@aceptech.local,qkelly@aceptech.local,Meeting Follow-up,6417,invoice.xlsx,1.34,Delivered,10.10.50.7,Normal
2024-03-01 16:10:48,lward@aceptech.local,vparker@aceptech.local,Meeting Follow-up,48340,None,0.42,Delivered,10.10.50.7,Normal
2024-03-11 11:33:00,ocarter@aceptech.local,ibailey@aceptech.local,Please Review,28073,None,1.18,Delivered,10.10.50.7,Normal
2024-03-15 15:42:59,hmurphy@aceptech.local,ladams@aceptech.local,Action Required,38875,None,1.02,Delivered,10.10.50.7,Normal
2024-03-11 09:11:58,ucampbell@aceptech.local,sprice@aceptech.local,Project Update,16971,invoice.xlsx,0.34,Delivered,10.10.50.7,Normal
2024-03-04 09:07:53,pbrooks@aceptech.local,ladams@aceptech.local,FYI,7376,None,0.85,Delivered,10.10.50.7,Normal
2024-03-29 13:29:59,ocarter@aceptech.local,ladams@aceptech.local,FYI,44387,report.pdf,1.16,Delivered,10.10.50.7,Normal
2024-03-12 08:11:31,gbell@aceptech.local,xcollins@aceptech.local,Please Review,17433,invoice.xlsx,0.69,Delivered,10.10.50.7,Normal
2024-03-04 16:24:21,qkelly@aceptech.local,mwilson@aceptech.local,Invoice Attached,20774,None,1.34,Delivered,10.10.50.7,Normal
2024-03-30 17:47:27,jscott@aceptech.local,sturner@aceptech.local,Quick Question,28684,invoice.xlsx,1.22,Delivered,10.10.50.7,Normal
2024-03-16 17:14:47,hrobinson@aceptech.local,owatson@aceptech.local,Invoice Attached,45041,None,1.01,Delivered,10.10.50.7,Normal
2024-03-29 15:26:03,iwalker@aceptech.local,yedwards@aceptech.local,Team Schedule,22970,None,0.53,Delivered,10.10.50.7,Normal
2024-03-15 08:32:51,zstewart@aceptech.local,mbaker@aceptech.local,Q1 Report,23270,report.pdf,0.85,Delivered,10.10.50.7,Normal
2024-03-08 09:29:46,ucampbell@aceptech.local,glewis@aceptech.local,Team Schedule,44048,report.pdf,0.63,Delivered,10.10.50.7,Normal
2024-03-21 10:03:05,lbrown@aceptech.local,nwood@aceptech.local,Invoice Attached,45743,None,1.07,Delivered,10.10.50.7,Normal
2024-03-18 08:13:32,lward@aceptech.local,lbrown@aceptech.local,Agenda for Tomorrow,15883,None,0.96,Delivered,10.10.50.7,Normal
2024-03-25 09:35:08,kgreen@aceptech.local,dlee@aceptech.local,Meeting Follow-up,36838,invoice.xlsx,1.21,Delivered,10.10.50.7,Normal
2024-03-17 16:27:08,sturner@aceptech.local,lward@aceptech.local,Team Schedule,23890,invoice.xlsx,0.91,Delivered,10.10.50.7,Normal
2024-03-01 08:32:08,cwhite@aceptech.local,yedwards@aceptech.local,Invoice Attached,26039,None,0.43,Delivered,10.10.50.7,Normal
2024-03-01 09:52:40,mrichardson@aceptech.local,nnelson@aceptech.local,Project Update,8305,None,0.4,Delivered,10.10.50.7,Normal
2024-03-18 14:53:45,bmorris@aceptech.local,owatson@aceptech.local,Agenda for Tomorrow,14779,report.pdf,1.26,Delivered,10.10.50.7,Normal
2024-03-17 14:12:32,mrichardson@aceptech.local,tphillips@aceptech.local,Q1 Report,41623,None,0.82,Delivered,10.10.50.7,Normal
2024-03-13 09:00:56,pbrooks@aceptech.local,xcollins@aceptech.local,Agenda for Tomorrow,44333,None,0.89,Delivered,10.10.50.7,Normal
2024-03-05 10:20:19,yedwards@aceptech.local,dreed@aceptech.local,Team Schedule,6595,None,0.76,Delivered,10.10.50.7,Normal
2024-03-10 13:15:42,eharris@aceptech.local,mwilson@aceptech.local,Please Review,30445,None,0.41,Delivered,10.10.50.7,Normal
2024-03-23 14:34:11,asanchez@aceptech.local,jrivera@aceptech.local,Please Review,12791,None,0.65,Delivered,10.10.50.7,Normal
2024-03-19 10:16:26,vparker@aceptech.local,ucampbell@aceptech.local,Q1 Report,7979,None,0.8,Delivered,10.10.50.7,Normal
2024-03-01 17:58:05,pmitchell@aceptech.local,rsanders@aceptech.local,Action Required,26809,report.pdf,1.24,Delivered,10.10.50.7,Normal
2024-03-21 10:09:42,mrichardson@aceptech.local,eharris@aceptech.local,Project Update,17353,invoice.xlsx,1.4,Delivered,10.10.50.7,Normal
2024-03-25 17:45:28,ocarter@aceptech.local,jscott@aceptech.local,Agenda for Tomorrow,28431,None,1.08,Delivered,10.10.50.7,Normal
2024-03-21 14:19:21,rroberts@aceptech.local,pbrooks@aceptech.local,Quick Question,30426,None,0.3,Delivered,10.10.50.7,Normal
2024-03-03 09:16:07,rroberts@aceptech.local,nnelson@aceptech.local,Team Schedule,21109,None,0.22,Delivered,10.10.50.7,Normal
2024-03-06 08:27:40,kjones@aceptech.local,glewis@aceptech.local,Quick Question,9372,None,1.22,Delivered,10.10.50.7,Normal
2024-03-12 17:17:47,rsanders@aceptech.local,gbell@aceptech.local,Please Review,12278,report.pdf,0.93,Delivered,10.10.50.7,Normal
2024-03-17 17:27:21,asanchez@aceptech.local,sprice@aceptech.local,Agenda for Tomorrow,45462,None,0.59,Delivered,10.10.50.7,Normal
2024-03-04 15:00:55,wevans@aceptech.local,jrivera@aceptech.local,Q1 Report,39503,None,0.3,Delivered,10.10.50.7,Normal
2024-03-19 10:23:07,lbrown@aceptech.local,fmorgan@aceptech.local,Team Schedule,12796,None,0.28,Delivered,10.10.50.7,Normal
2024-03-21 08:00:39,ibailey@aceptech.local,gbell@aceptech.local,Project Update,23620,None,0.93,Delivered,10.10.50.7,Normal
2024-03-02 14:40:08,nnelson@aceptech.local,lbrown@aceptech.local,Action Required,31504,None,1.3,Delivered,10.10.50.7,Normal
2024-03-11 15:34:05,asanchez@aceptech.local,rsanders@aceptech.local,Team Schedule,7258,None,1.46,Delivered,10.10.50.7,Normal
2024-03-22 12:27:34,sprice@aceptech.local,fclark@aceptech.local,FYI,14280,None,0.21,Delivered,10.10.50.7,Normal
2024-03-16 17:34:54,asanchez@aceptech.local,jsmith@aceptech.local,Please Review,15183,report.pdf,0.09,Delivered,10.10.50.7,Normal
